tweet,target,,,,,,,,,,
ابے بار کا لوڑا ہے تو تو نے بھی تو کوئی کام کی بات کی ہے تو بھی بار کا لوڑا ہے اور وہ بھی گانڈو ہے,1,,,,,,,,,,
ابے بہت اعلیٰ ویڈیو ہے ایسے ہی ویڈیو بناتے رہو,0,,,,,,,,,,
ابے بہن چود تو اس کے چینل کو بند کروانے کا کہ رہا ہے لعنت ہے تم پر,1,,,,,,,,,,
ابے بھوسڑی کے پہلے آئینہ میں جا کر اپنی شکل تو دیکھ چوتیا ٹٹی جیسی شکل ہے تیری,1,,,,,,,,,,
ابے بھوسڑی کے زیادہ شوق ہے بال ووڈ کا تو انڈیا ہی چلا جا,1,,,,,,,,,,
ابے تجھے ردعمل چاہیے شام اور فراگی کا تا کہ تو ابھی مشہور ہو جائے گانڈو تو بھی وہی حرکتیں کر رہا ہے بھڑوے,1,,,,,,,,,,
ابے تیری ماں کی چوت بھوسڑی کے تیری گانڈ پھاڑ دوں گا اگر کچھ کہا تو,1,,,,,,,,,,
ابے جاہل جانور میں تیری بات کر رہا ہوں تو اپنے چینل کے لیے ہر کسی کا لوڑا اپنی گانڈ میں لینا چھوڑ دے,1,,,,,,,,,,
ابے جلتے کیوں ہو ہاہاہا تو نے بھی تو اپنے چینل پر گالیاں بین کی ہوئی ہیں کتے جیسی تو شکل ہے تیری,1,,,,,,,,,,
ابے جھوٹے شام کے ٹٹے دفعہ ہو غرق ہو شام کی ماں کی چوت,1,,,,,,,,,,
ابے چوتیے تو اپنی ویڈیو کی طرف توجہ دے دو نمبر طریقے سے شہرت حاصل کرنے والا,1,,,,,,,,,,
ابے چوتیے کتنا آسان ہے نا کسی کی ویڈیو کو روسٹ کرنا اپنا کام دیکھ اور ان کا کام دیکھ صرف مائیک لے کر ٹٹی کرنا آاسان ہے,1,,,,,,,,,,
ابے چوتیے کے ڈھکن کیسے فالتو ویڈیو بناتا ہے,1,,,,,,,,,,
ابے چوتیے لعنت ہے تجھ پر,1,,,,,,,,,,
ابے چوتیےانہوں نے تیرا نام کہاں لیا ہے جو ہر بات اپنے اوپر فٹ کر رہا ہے,1,,,,,,,,,,
ابے دکی زیادہ چوتیاپا نہ کر اور بولنے سے پہلے سوچ لیا کر فراڈ ہو گا تیرا باپ فراڈ ہوتی تیری ماں,1,,,,,,,,,,
ابے سالے چوتیے تو اپنے آپ کو سمجھتا کیا ہے,1,,,,,,,,,,
ابے شکل تو تیری بھی کسی بندر سے کم نہیں ہے میں کوئی شام کا فائن نہیں ہوں,1,,,,,,,,,,
ابے کالے ابھی تک ویڈیو اپ لوڈ کیوں نہیں کیں,1,,,,,,,,,,
ابے کمینے تو سالے چوتیا ہے پوری بات تو پڑھ کہ کس کے لیے لکھا ہے,1,,,,,,,,,,
ابے کیری آج سے پہلے کبھی تو نے سستے نشے کیئے ہیں,0,,,,,,,,,,
ابے کیری تو پکانا بند کر اب تو بور کرنے لگا ہے تو,0,,,,,,,,,,
ابے گانڈ سے پاگل بھوسڑے کی تیری گانڈ جلتی ہے وہ وہاں بیٹھ کر پاکستان کا سب سے بڑا یوٹیوبر ہے,1,,,,,,,,,,
ابے لوڑو تو ہے کون چوتیا فضول میں بھونک رہا ہے تجھے کہ کون رہا ہے کچھ کرنے کو,1,,,,,,,,,,
ابے لونڈے میں دم نہں ہے دیکھ لے,1,,,,,,,,,,
ابے مادرچود لنڈ تو لینے آیا ہے یہاں پر وہ بھی اپنی بہن کے لیے,1,,,,,,,,,,
ابے یہ نعمان کون ہے اور کدہر ہے,0,,,,,,,,,,
اپنا سپر سٹار کیری,0,,,,,,,,,,
اپنا کاپی کیا ہوا چینل دیکھ لے اور اپنی ویڈیوز بھی,0,,,,,,,,,,
اپنا وقت ان جیسے جوتیوں لوگوں پہ مت لگاؤ اپنا کام بہتر کرو اور ان سے نمبر لے جاؤ,1,,,,,,,,,,
اپنا ویڈیو کا ویو اور گانے کا ویو دیکھ گانڈو زمین اور آسمان کا فرق ہے اپنی اوقات دیکھ اور اس کی اوقات دیکھ کر بات کر,1,,,,,,,,,,
اپنی پسندیدہ ویڈیو دیکھیں,0,,,,,,,,,,
اپنی ماں کو تو بچالے بہن کے لوڑے تیری ماں کو چود گیا,1,,,,,,,,,,
اپنی ماں کو دے جا کر مادر چود پھر بھی نیہں ملا تھا جو ادھر آگیا لینے,1,,,,,,,,,,
اپنی مرضی سے سنیں ویڈیو کا میوزک شروع ہو گیا,0,,,,,,,,,,
اتار کے رکھ دی بہن چود کی,1,,,,,,,,,,
اترو سن کے وہ گوبھی والی آنٹی مر گئی ہوں گی بہت اچھا بھائی,0,,,,,,,,,,
اتنا اچھا ویڈیو کیری نے پہلی بار ڈالا ہے,0,,,,,,,,,,
اتنا پسند نہیں آیا اور چھوٹا بھی تھا ان کے کونٹینٹ سے ہمارا کونٹینٹ جدا ہونا چاہیے,0,,,,,,,,,,
اتنا مزہ نہیں آیا,0,,,,,,,,,,
اتنی گندی تو انعم کی بھی نہں ہوئی جتنی شام کی ہو گئی پر جو بھی کہا دکی بھائی نے صیح کہا,1,,,,,,,,,,
اتنی گھٹیا ویڈیو زندگی میں پہلی بار دیکھا ہے,0,,,,,,,,,,
اتنی محنت وہ بھی گانڈو کے لیے جو پہلے سے گانڈو ثابت ہو گیا,1,,,,,,,,,,
اتنی مزاحیہ نہیں تھا لیکن کام اچھا تھا,0,,,,,,,,,,
اج گیم نہیں کھیلا کیا جو کارٹون لگا دئیے غصہ دلا دیا,0,,,,,,,,,,
اجے بہت چوتیا ہے,1,,,,,,,,,,
اجے بھائی اب لاکھوں ہوں جائیں گے کیری بھائی کے لئیے لائیکس,0,,,,,,,,,,
اجے بھائی پردیسی لڑکی نےآپ کی ویڈیو پر ردعمل دیا ہے تو آپ اس کے ردعمل پر ویڈیو بنائیں,0,,,,,,,,,,
اجے تمہارے کمنٹ نےمیری ویڈیو سے زیادہ لائیکس حاصل کیے ہیں,0,,,,,,,,,,
اجے چوتیا ,1,,,,,,,,,,
اجے کا دوسرا نام لنڈ ہے,1,,,,,,,,,,
اجے گانڈو ہے,1,,,,,,,,,,
اجے مین مجھے آپ کے دانتوں سے پیار ہو گیا ہے,0,,,,,,,,,,
اجےمجھے آپ کی آواز آپ کا سٹائل بہت اچھا ہے مجھے آپ بہت پسند ہیں,0,,,,,,,,,,
اچھا بھائی یہ تو چلتے ہیں,0,,,,,,,,,,
اچھا دکی بھائی شام چوتیا ہے,1,,,,,,,,,,
اچھا کیا بھائی گانڈ میں واقعی ڈنڈا دے دیا آپ نے ان کو,1,,,,,,,,,,
اچھا کیا یار تم نے صیح اوقات یاد دلائی تم نے اس بہن چود کو سالے,1,,,,,,,,,,
اچھاہے چوتیا ہے عرفان جنجوے کبھی ایسا نہں سنا,1,,,,,,,,,,
اچھی گانڈ ماری آپ نے اسکی اپنے لوڑے سے,1,,,,,,,,,,
اچھی ویڈیو تھی اگر کوئی گوگل سے پیسے کمانا چاہتا ہے تو میرے چینل کو دیکھیں,0,,,,,,,,,,
اختتام ضرور بہت اچھا ہوگا,0,,,,,,,,,,
اخیر حوصلہ ہے تیرا تو چیتا ہے ماور اس بھوسڑی کے کی گانڈ,1,,,,,,,,,,
اخیر کردی ہے اس دلے نےجھوٹی ویڈیوز بنا بنا کر میں گانڈ مار دوں گا اب ان کی,1,,,,,,,,,,
اخیر ہوگئی صیح بجائی اس دلے کی بھائی نے,1,,,,,,,,,,
ادریس چوتیا ہے,1,,,,,,,,,,
ادھار کارڈ کو لنک کرو ہاہاہاہا,0,,,,,,,,,,
ارفع عظمت شام بھوسڑی کا ہے,1,,,,,,,,,,
ارے اجے بھیا آپ سے مل کر آئے اس کا مطلب کہ ہم بھی ان سے مل گئے,0,,,,,,,,,,
ارے بھائی ارے بھائی بہت اچھا آگے بڑھو چوتیا تو بنا نہں ہو گا,1,,,,,,,,,,
ارے بھائی ایک گروپ میں ہی سب لوگ ہوتے ہیں ابھی تک بہت اچھا ہے,0,,,,,,,,,,
ارے بھائی بھائی بھائی آخری سپر لائیک,0,,,,,,,,,,
ارے بھائی تم پاگل ہو میں اپنی ہنسی نہیں روک پا رہا,0,,,,,,,,,,
ارے بھائی کہاں ہے یار اگلی ویڈیو کب آرہی ہے,0,,,,,,,,,,
ارے دکی بھائی لعنت بھیج اس چوتیا پر,1,,,,,,,,,,
ارے وہ کالی چرن کو ولن کا کردار ادا کرنا چاہیے تھا,0,,,,,,,,,,
ارے یار اپنی دل کی بات چھین لی قسم سے بہت گالیاں دی تھیں میں نے اس گانڈو کو بعد میں اس نے مجھے ڈیلیٹ کر دیا,1,,,,,,,,,,
ارے یار بہت بہن چودی کرتے ہو یار کیا بندے ہو تم,1,,,,,,,,,,
اس بار تو آپ نے اس جھوٹے کی گانڈ بند کر دی اس وقت کہتا تھا کہ پاکستان آؤں گا اب بھوسڑی کا کہتا ہے کہ پاکستان نہں آئے گا,1,,,,,,,,,,
اس بار کچھ کام زیادہ ہی خراب ہو گیا لاکھوں لوگوں نے مجھے ناپسند کیا ہے,0,,,,,,,,,,
اس بہن چود کی نسل کو ننگا کر کے مارنا چاہیے,1,,,,,,,,,,
اس بہن یکی کو سپورٹ کرتے ہو تم بہت ہی چوتیا ہو,1,,,,,,,,,,
اس بھڑوے ادریس کو اور گندا کرنا تھا,1,,,,,,,,,,
اس بھوسڑی والے کو پکڑ کر اس کی گانڈ میں ڈنڈا مارو اور فراگی کی گانڈ الگ سے مارنا,1,,,,,,,,,,
اس بے غیرت کو کیا حق بنتا ہے کہ وہ ہم پاکستانیوں کو کچھ کیے,1,,,,,,,,,,
اس پاگل انسان کو اس کے گھر والے کیسے جھیل رہے ہوں گے ان کی ہمت کی داد دیتا ہوں,0,,,,,,,,,,
اس پر ویڈیو بنا دے بھائی بہت تکلیف میں ہے بھائی یہ بندہ,0,,,,,,,,,,
اس جھوٹی ویڈیو دیکھنے سے بہتر تھا کہ سدھارت کی گانڈ مار لیتے,1,,,,,,,,,,
اس جیسے چوتیا لوگ ہی ہوتے ہیں جو پاکستان اور اسلام کی بے عزتی کرواتے ہیں,1,,,,,,,,,,
اس چوتیا بے غیرت حرامی کتے شام کو کتنی جوتیاں پڑنی چاہیں,1,,,,,,,,,,
اس چوتیا کا جا کر چینل دیکھو تو پتہ چل جائے گا کہ یہ سالا ذہنی مریض ہے,1,,,,,,,,,,
اس چوتیے کو چھوڑو اور اس گاںڈو کوپکڑو,1,,,,,,,,,,
اس چوتیے نے صیح بولا کہ ڈول کے آنے کے بعد گناہ کم ہو جائے گا,1,,,,,,,,,,
اس دلے نے کاپی رائٹ لگا دینا ہے اس کی گانڈ جل جانی ہے,1,,,,,,,,,,
اس رنڈی کے طوخم کا بھائی پاکستان میں رہتا ہے اویٹر کا کھبا ٹٹہ,1,,,,,,,,,,
اس سے پہلے تیری ویڈٰیوز پر لائیک جاتے تے اب رپورٹس جائیں گیں,0,,,,,,,,,,
اس طرح کے کمنٹس مجھے اور کیری کو اشتعال دلاتے ہیں,0,,,,,,,,,,
اس کا انتظار تھا اور تم نے کردیا اور ویسے سینڈ شاہ میرے سکول سے تھا,0,,,,,,,,,,
اس کا علاج اس کی گانڈ میں تیل کی بوتل ڈال کر ہوگا,1,,,,,,,,,,
اس کا کوئی حق نہں بنتا کہ اس کو سبسکرائبر ملیں لیکن پھیر بھی اس کو سبسکرائبر مل گئے,0,,,,,,,,,,
اس کا ماں باپ کون ہے اور یہ رنڈی خود کون ہے,1,,,,,,,,,,
اس کا نہ باپ ہے اور نہ ماں ہے کھسرا ہے شام,1,,,,,,,,,,
اس کہ نہ ماں ہے نہ ابو یہ تو کھسرا ہے بہن چود,1,,,,,,,,,,
اس کو تو پوری طرح سے گانڈ مار دی,1,,,,,,,,,,
اس کو جاری رکھو اور اگر ٹائم ملے تو دنچک پوجا پر ویڈیو لازمی بناؤ,0,,,,,,,,,,
اس کو جاری رکھو یار نیا سال مبارک ہو,0,,,,,,,,,,
اس کو ختم کرو بھائی برا میوزک,0,,,,,,,,,,
اس کو دیکھ کر میں راوالپنڈی سے ناران تک گائیڈ لوں گا,0,,,,,,,,,,
اس کو سنجیدہ مت لیں یو یو بنتا ویڈیو ہماری سب سے بہتر ویڈیو ہے,0,,,,,,,,,,
اس کو شیخ گورمیت نے ڈائریکٹ کیاہے,0,,,,,,,,,,
اس کو کہتے ہیں اصلی مواد شام ادریس بھوسڑی کے بہن چود,1,,,,,,,,,,
اس کو کہتے ہیں بناء تیل لگائے گانڈ مارنا مزہ آگیا دکی بھائی,1,,,,,,,,,,
اس کو ویشنو ماتا کے بارے میں مزاق کرنے کے بعد ایک آدمی نے اس کوسبق سیکھایا سٹیشن پر,0,,,,,,,,,,
اس کے آڈیشن کے وقت مجھے لگا کہ اس کو کہیں دیکھا ہے پھیر مجھے آپ کی ویڈیو یاد آگئی,0,,,,,,,,,,
اس کے بعد شام کی گانڈ پھٹ جائے گی,1,,,,,,,,,,
اس کے پاس تو دونوں ہیں پر کیری کو ڈسک پسند ہے,0,,,,,,,,,,
اس کی ایسی کی تیسی کون ہے یہ سالی مارو اس کو بھائی کی ویڈیو چوری کرتی ہے,0,,,,,,,,,,
اس کی باتوں میں وزن ہے کہ تم یار گالیاں بہت نکالتے ہو اور وہ بھی انے واہ,0,,,,,,,,,,
اس کی تو نکل پڑی,0,,,,,,,,,,
اس کی گانڈ ماروں میں جب میں اپنے ٹٹے شیو کرتا ہوں تو اس کی گانڈ کی طرح ہو جاتے ہیں,1,,,,,,,,,,
اس کی لائیک کا مطلب ہے کہ ویڈیو کو دیکھیں,0,,,,,,,,,,
اس کی ماں چود کے پھینک دی دکی نے,1,,,,,,,,,,
اس کی ماں چودی پڑی ہے لن کی شکل والا مادر چود ,1,,,,,,,,,,
اس کی ماں کا لوڑا,1,,,,,,,,,,
اس کی ماں کی آنکھ بہن چود,1,,,,,,,,,,
اس کی ماں کی بہن چود مادر چود ماں کا چھولا چوتیا گانڈو,1,,,,,,,,,,
اس کی ماں کی چوت اس کو کہو کر لے جو کرنا ہے,1,,,,,,,,,,
اس کی ویڈیوز مت بنا بھائی سر درد ہونے لگا ہے,0,,,,,,,,,,
اس گانڈو کا علاج شوکت خانم میں کروا کر ہسپتال کو گنا نہں کرنا,1,,,,,,,,,,
اس گانڈو نے سب سے پہلے میرا فیس بک پیچ بند کیا اور پھیر اپنے آپ کو پاکستانی کہتا ہے شرم آنی چاہیے اس گانڈو کو,1,,,,,,,,,,
اس گانے کا سب سے اچھا حصہ بہت مشہور تھا,0,,,,,,,,,,
اس گانے کو سننے کے بعد چین سموکر اس کو مار دیں گے,0,,,,,,,,,,
اس گیم کا نام پلیز,0,,,,,,,,,,
اس لڑکی کو زہر دے دو کس نے سچ کہا پیار اندھا ہوتا ہے,0,,,,,,,,,,
اس لنک پر کلک کر کے ایپلیکشن ڈون لوڈ کریں اور میرا کوڈ استعمال کر کے رجسٹر ہو جائیں,0,,,,,,,,,,
اس لنک کو بھی چیک کریں مہربانی فرما کر,0,,,,,,,,,,
اس لونڈیا کو شا م ادریس کا ٹٹہ بھی لائن مارے گا نا تو یہ اس کے ساتھ بھی ڈیٹ پر جائے گی چوتیا پاکستانی عوام,1,,,,,,,,,,
اس مردے جسم کو کیا کرنا ہے لوٹ لوسالوں کو,1,,,,,,,,,,
اس میں کوئی برائی نہیں ہے تبدیلی کے لیے اچھا ہے,0,,,,,,,,,,
اس نے اصل میں اس ویڈیو کے ردعمل میں ایسا کیا ہے,0,,,,,,,,,,
اس نے تو اس کی ماں بہن ایک کر کے رکھ دی میں نے کبھی ایسی ویڈیو نہں دیکھی بھائی,1,,,,,,,,,,
اس نے کچھ نیا کرنے کی کوشش کی ہے,0,,,,,,,,,,
اس نے کسی کے گانے کے بارے میں نہیں بولا اور تو نے اس کی گانڈ لے لی,1,,,,,,,,,,
اس نے لگا دئیے لوڑے,1,,,,,,,,,,
اس ویڈیو پر لاکھوں ویوز بنتے ہیں,1,,,,,,,,,,
اس ویڈیو کا امین بھائی سے کوئی لینا دینا نہیں ہے,0,,,,,,,,,,
اس ویڈیو کو دیکھیں بہت مزاحیہ ہے,0,,,,,,,,,,
اس ویڈیو کے بعد تو میں پکا,0,,,,,,,,,,
اس ویڈیو کے لیے آپ کا شکریہ اللہ آپ کو بہت ساری کامیابیاں دے,0,,,,,,,,,,
اس ویڈیو میں اتنا مزہ نہیں ہے,0,,,,,,,,,,
"اسد، اشیش اور سر کیا حال ہیں",0,,,,,,,,,,
اسلم بہت بڑا کنجر ہے اور ساتھ میں رنڈی فراگی بھی,1,,,,,,,,,,
اسے تیرے بعد الفاظ والی ویڈیو دیکھا,0,,,,,,,,,,
اسے دیکھنے کے بعد میں بنگالی رہنے میں ڈر رہا ہوں,0,,,,,,,,,,
اسے کہتے ہیں گانڈ پھاڑ کر ہاتھ میں دینا تم نے اچھی طرح اسکا  کام کیا,1,,,,,,,,,,
اشانت شرما سب سے بہتر تھا,0,,,,,,,,,,
اصلی نہیں ہیں,0,,,,,,,,,,
اعلیٰ بہن چود  چود کر رکھ دیا ہے,1,,,,,,,,,,
اکبر نے انڈیا کے بچوں کے لیئے عطیات اکٹھے کیئے اور معذرت بھی کی,0,,,,,,,,,,
اکتوبر میں اس ویڈیو کا ٹائٹل دارو دارو سے تبدیل ہو گیا ہے وہ واپس آ گئی ہے,0,,,,,,,,,,
اگر اس ویڈیو پر اس نے احتجاج کیا تو قسم سے میں نے اس کی گانڈ مار دینی ہے,1,,,,,,,,,,
اگر اس ویڈیو کو پروموٹ کرنا چاہتے ہو تو بہن چودو اس کو شیئر کرو,1,,,,,,,,,,
اگر آپ سب کیری کے فائن ہو تو اس کمنٹ کو سب سے ذیادہ لائیکس دو,0,,,,,,,,,,
اگر آپ کو روسٹنگ پسند ہے تو آؤ میرا چینل جوائن کرو اور مزاحیہ ویڈیوز سے لطف اٹھاؤ,0,,,,,,,,,,
اگر بندہ خود شریف ہو تہ وہ دوسروں کی باتوں پر بہن چودی نہں کرتا آپ کی سب باتیں ٹھیکھ ہیں,1,,,,,,,,,,
اگر تم اس ویڈیو کو ناپسند کرتے ہو تو تم چوتیا ہو,1,,,,,,,,,,
اگر تم کو وہاں کچھ کام پڑا تو تیری ادھر جانے میں گانڈ پھٹ جائے گی تیری,1,,,,,,,,,,
اگر تم کیری مناتی کے بہت بڑے فا ئن ہو تو مجھے ٹک ٹاک پر فالو کریں,0,,,,,,,,,,
اگر شام ادریس لاکھوں لائیکس لے گا تو وہ دونوں شادی کر لیں گے ہمیں چوتیا بنا رہے ہیں,1,,,,,,,,,,
اگر ویڈیو میں گالیاں بالکل نہ ہوتیں تو اچھا رہتا,0,,,,,,,,,,
اگر یہ جادو والا گھر ہے تو یہاں بہت سارے جن رہتے ہوں گے,0,,,,,,,,,,
اگر یہ مشہور ہے تو سانڈیساہ مشہور ترین ہے,0,,,,,,,,,,
اگلے سطح کی بہن چودی ہے,1,,,,,,,,,,
الٹی آرہی ہے,0,,,,,,,,,,
الگ ہی بہن چودی پھیلاتا ہے مگر اچھا کام ہے,1,,,,,,,,,,
الگ ہی بہن چودی ہے,1,,,,,,,,,,
الگ ہی قس مے بہن چود ہو تم,1,,,,,,,,,,
اللہ الماس کو ہدایات دے اپنا چینل چلانے کے لیے دوسروں کی عزت سے کھیل رہا ہے,0,,,,,,,,,,
الماس جیکب آپ کے اوپر ویڈیو بنائی ہے,0,,,,,,,,,,
امیر کی کھوتی غریب کا جھونپڑا تیری ماں کا بھوسڑا,1,,,,,,,,,,
ان بن تن کا تولا شام ابلیس کی گانڈ میں لوڑٖا,1,,,,,,,,,,
ان جیسے فراگی بھوسڑی کے اپنی اوقات دیکھا رکھی ہے,1,,,,,,,,,,
ان دونوں کو بول دو کہ دودھ مانگو گے تو کھیر دیں گے پیسے مانگو گے تو چیر دیں گیں سستا تھوک لگا کر ان کی گانڈ,1,,,,,,,,,,
ان سب کی ماں چود دی دکی بھائی نے,1,,,,,,,,,,
ان سب کینیڈا والوں کو گانڈ کی کینسر ہے,1,,,,,,,,,,
ان کی بہن کی گھسی کنجری دا پتر پھٹے ہوئے کنڈم کی اولاد,1,,,,,,,,,,
ان گانڈ چودوں کو روک سالے حجاب کا مزاق اڑا رہے ہیں,1,,,,,,,,,,
ان لوگوں کو پتہ بھی نہں کہ یہ روسٹ لفظ کا کیا مطلب ہوتا ہے ان کو صرف اس لفظ سے نفرت ہے,0,,,,,,,,,,
انتہائی زہر ہے بھائی کی ویڈیو اعلٰی بھائی اور سالگرہ مبارک ہو,0,,,,,,,,,,
انٹرنیٹ کے ذریعے سے میں تمہارے چینل کو جانتا ہوں,0,,,,,,,,,,
انجالی وہ بہت پیاری ہے نا,0,,,,,,,,,,
اندر باہر کرو شام کھسری چوتیا,1,,,,,,,,,,
انڈیا کا ناصر خان جان,0,,,,,,,,,,
انڈیا کو گالی دے رہا ہے تو تم کو کچھ فرق نہیں پڑ رہا ہے,0,,,,,,,,,,
انرجی ڈرنک کو لسی بنا دیا,0,,,,,,,,,,
انہی چوتیاپا کی وجہ سے ین کو ان سبسکرائب کر دیا ہے,1,,,,,,,,,,
اہ بہت پاگل پن تک کا کردار تھا اب اس میں,0,,,,,,,,,,
او دلا,1,,,,,,,,,,
او دلے رنڈی کے بچے چت ماریں گے تیری تو کون ہوتا ہے شام کو جھوٹا کہنے والا,1,,,,,,,,,,
اودے شٹکر یہ کیسے متعلقہ ہے,0,,,,,,,,,,
اور اچھا کام ہے آپ کا تم بی بی سے اچھی اور جلدی ویڈیوز دے رہے ہو,0,,,,,,,,,,
اور اس پر بناؤ ویڈیو,0,,,,,,,,,,
اور اس چوتیے بہن کے لوڑے کو اتنا روسٹ کر کہ اس کا چینل خود ہی بند ہو جائے,1,,,,,,,,,,
اور ایک بات کیا تمہارا نام اجے نگر ہے,0,,,,,,,,,,
اور آپ پر وہ کیوں نہں ویڈیو روسٹ کرتا کیوں کہ اس کے لیے جھوٹ کا سہارا لینا پڑتا ہے وہ گانڈو عقل کے ساتھ تو کچھ لکھتا نہیں ہے,1,,,,,,,,,,
اور آج کل شادی والا ہی چوتیاپا چل رہا ہے ان کا,1,,,,,,,,,,
اور تیری ماں دکی کی گانڈ چٹوانے والی دکی کی گانڈ,1,,,,,,,,,,
اور جیری سے ابھی تک نہں ملے بھائی,0,,,,,,,,,,
اور سالگرہ بھی مبارک ہو,0,,,,,,,,,,
اور مست غضب بنایا,0,,,,,,,,,,
اور ہاں دکی بھائی اس نے اپنے چینل پر گانڈوپن تونہیں کیا,1,,,,,,,,,,
اور ہماری مزاحیہ ویڈیو لازمی دیکھیں اور اچھی لگے تو لازمی سبسکرائیب کریں,0,,,,,,,,,,
اور وہ گرنیڈ پھینک سکتاتھا اس کو اپنے آپ کو مارنے  کی ضرورت نہیں,0,,,,,,,,,,
اور یار میں ہنس ہنس کر رو پڑا,0,,,,,,,,,,
اور یہ بندہ لڑکا ہے یا لڑکی ہے کنفیوشن ہے,0,,,,,,,,,,
اوسم کیری بھائی آئی لو یو,0,,,,,,,,,,
اولام کے داخل ہونے پر کون سا گانا شروع میں چلایا تھا,0,,,,,,,,,,
اوم پرکاش بڑھیا ہے روسٹ کی وجہ سے وہ زیادہ مشہور ہو گیا اس سے دونوں کا فائدہ ہے,0,,,,,,,,,,
اوم پرکاش شرما کی لے لی,0,,,,,,,,,,
اومے تمہاری سب سے مزاحیہ ویڈیو ہے,0,,,,,,,,,,
اونام گپتا بےوفا ہے,0,,,,,,,,,,
اوہ اب یہ بھی دیکھنا پڑے گا,0,,,,,,,,,,
اوہ بھائی تم جانتے ہو بھوج پوری کے گانوں کے بارے میں تم کسی معاشرے کو تنقید نہں کر سکتے,0,,,,,,,,,,
اوہ بھائی جی,0,,,,,,,,,,
اوہ میرے خدا آپ کی یہ ویڈیو بہت اچھی ہے,0,,,,,,,,,,
اوہ میرے خدا شکریہ آپ نے مجھے جواب دیا,0,,,,,,,,,,
اوہ میرے خدا کا دیکھنا تھا اس کا,0,,,,,,,,,,
اوہ میرے خدا میں بڑبڑا رہا ہوں تم نے یہ کیسے کیا تمہیں یہ کرنے کا موقع کیسے ملا میں حیران ہوں کہ یہ اصلی ہے یا میں خواب میں ہوں,0,,,,,,,,,,
اوہ میری گانڈ میں ٹیکے ہا ہا ہا ہا,1,,,,,,,,,,
اوہ نہں میں کافی لیٹ ہوں,0,,,,,,,,,,
اوہم پرکاش سرما کا انڈین آئڈل آڈیشن,0,,,,,,,,,,
اوئے باز آجاکوڑی کی ٹکی کا فائن منہ بند کر اپنا میں نے تیرے ساتھ بات نہں کی گدھے جئیسی شکل ہے تیری,1,,,,,,,,,,
اوئے بھائی میں کب سے تلاش کر رہا ہوں میوزک صیح بج رہا ہے نا,0,,,,,,,,,,
اوئے چوتیے شاید تجھے پولیو والا ٹیکہ نہں ملا,1,,,,,,,,,,
